Title,Author.Year,Lat,Long,Crop_Type,Crop_TypeMaize,Crop_TypeRice,Crop_TypeWheat,Tmp,Prec,BD,Clay,SOC,pH,Fertilizer,FertilizerAN,FertilizerMA,FertilizerO,FertilizerU,FertilizerEEF,Tillage practice,Irrigation,Fertilizer placement,Nrate,EF,Management,Continent
Nitrous oxide emission from different fertilizers and its mitigation by nitrification inhibitors in irrigated rice,"Kumar et al., 2000",28.67,77.2,Rice,0,1,0,1.038357709,0.280186943,0.815695731,-0.087811506,-1.181023301,1.080413571,U,0,0,0,1,0,1,0,0,-0.467111686,0.07,,Asia
Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",48.5,11.35,Wheat,0,0,1,-0.557332352,0.268162726,-0.119436313,-0.344308193,3.47907613,-1.822881867,EEF,0,0,1,0,1,1,0,0,-1.007819243,2.67,,Europe
Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",48.5,11.35,Maize,1,0,0,-1.725311676,0.849333214,-0.119436313,-0.344308193,3.47907613,-1.822881867,EEF,0,0,1,0,1,1,0,1,-1.278173022,1.61,,Europe
Effect of crop-specific field management and N fertilization on N2O emissions from a fine-loamy soil,"Ruser et al., 2001",48.5,11.35,Maize,1,0,0,-1.725311676,0.849333214,-0.119436313,-0.344308193,3.47907613,-1.822881867,EEF,0,0,1,0,1,1,0,1,-0.575253198,1.63,,Europe
Nitrous oxide emission from different fertilizers and its mitigation by nitrification inhibitors in irrigated rice,"Kumar et al., 2000",28.67,77.2,Rice,0,1,0,1.696374229,0.280186943,0.815695731,-0.188855655,-1.181023301,1.080413571,U,0,0,0,1,0,1,0,1,-0.467111686,0.08,,Asia
Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,"Adviento Borbe et al., 2013",34.45,-91.4,Rice,0,1,0,1.449618034,-0.886162105,0.815695731,-0.422034462,-0.942043843,-0.777695509,U,0,0,0,1,0,1,1,0,-0.164315455,0.08,,South America
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.873853579,-0.256894749,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.845606976,0.06,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.873853579,-0.256894749,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.196757908,0.07,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.873853579,-0.256894749,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.521182442,0.07,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,1.120609774,-0.100579928,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,1.263152495,0.09,,Asia
Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency,"Zhang et al., 2016",31.56,120.71,Rice,0,1,0,0.956105644,0.115855978,-1.989700401,-0.732939537,-0.344595198,0.615886301,U,0,0,0,1,0,1,0,0,0.938727961,0.09,,Asia
The Effects of Rape Residue Mulching on Net Global Warming Potential and Greenhouse Gas Intensity from No-Tillage Paddy Fields,"Zhang et al., 2014",29.92,115.05,Rice,0,1,0,0.939655231,1.586818523,-0.119436313,0.044323151,0.372343176,-0.313168239,MA,0,1,0,0,0,1,0,0,0.960356264,0.09,,Asia
"Comparison of greenhouse gas emissions from rice paddy fields under different nitrogen fertilization loads in Chongming Island, Eastern China","Zhang et al., 2014",32.02,122.03,Rice,0,1,0,0.857403166,1.438519846,0.815695731,-0.499760731,0.133363718,1.196545388,U,0,0,0,1,0,1,0,0,-0.358970175,0.1,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,1.071258535,-0.814016803,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.034545641,0.07,,Asia
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,1.219312252,0.648929597,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,1,0,-1.007819243,0.1,,Asia
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,1.219312252,0.648929597,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,1,0,-0.683394709,0.1,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.43,120.2,Rice,0,1,0,1.005456883,-0.100579928,-0.119436313,1.987479871,-0.344595198,-1.126090962,U,0,0,0,1,0,1,0,0,0.45209116,0.1,,Asia
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,1.219312252,0.648929597,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,1,0,-0.358970175,0.11,,Asia
Methane and nitrous oxide emissions from an irrigated rice of North India,"Ghosh et al., 2003",28.67,77.2,Rice,0,1,0,1.877328772,-0.693774633,0.815695731,-0.188855655,-1.181023301,0.848149936,U,0,0,0,1,0,1,1,1,-0.683394709,0.11,,Asia
"Nitrogen fate and environmental consequence in paddy soil under rice-wheat rotation in the Taihu lake region, China","Zhao et al., 2009",31.32,120.42,Rice,0,1,0,0.873853579,0.087799471,0.815695731,-1.043844612,0.133363718,0.267490848,U,0,0,0,1,0,1,0,0,-0.899677732,0.11,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,1.071258535,-0.814016803,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.521182442,0.07,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,1.071258535,-0.814016803,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,0.45209116,0.08,,Asia
"Nitrogen fate and environmental consequence in paddy soil under rice-wheat rotation in the Taihu lake region, China","Zhao et al., 2009",31.32,120.42,Rice,0,1,0,0.873853579,0.087799471,0.815695731,-1.043844612,0.133363718,0.267490848,U,0,0,0,1,0,1,0,0,1.263152495,0.12,,Asia
Influence of nitrogen loading and plant nitrogen assimilation on nitrogen leaching and N2O emission in forage rice paddy fields fertilized with liquid cattle waste,"Riya et al., 2015",36.02,140.12,Rice,0,1,0,0.676448623,1.177995145,-4.795096533,1.249080318,0.133363718,-1.009959144,MA,0,1,0,0,0,1,0,0,3.425982723,0.12,,Oceania
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.071258535,0.139904412,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,1.392922309,0.13,,Asia
Effects of nitrogen fertiliser and wheat straw application on CH4 and N2O emissions from a paddy rice field,"Ma et al., 2007",31.28,119.9,Rice,0,1,0,1.005456883,-0.629645476,-0.119436313,-1.19929715,-1.061533572,-0.777695509,MA,0,1,0,0,0,1,0,0,1.392922309,0.13,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.43,120.2,Rice,0,1,0,1.005456883,-0.100579928,-0.119436313,1.987479871,-0.344595198,-1.126090962,U,0,0,0,1,0,1,0,0,2.074213831,0.13,,Asia
Influence of nitrogen and phosphorus fertilizers on N2O emissions in rice fields,"Huang et al., 2005",30.5,120.4,Rice,0,1,0,1.038357709,-0.100579928,-0.119436313,-0.266581924,-0.464084927,0.035227213,U,0,0,0,1,0,1,0,0,0.938727961,0.13,,Asia
Long-term field measurements of annual methane and nitrous oxide emissions from a Chinese subtropical wheat-rice rotation system,"Zhou et al., 2006",30.27,105.47,Rice,0,1,0,1.202861839,-0.308999689,-1.989700401,-0.857301567,-0.583574656,1.777204476,U,0,0,0,1,0,1,0,0,-0.358970175,0.13,,Asia
Nitrous oxide and methane emissions from paddy soils in southwest China,"Su et al., 2017",29.06,106.19,Rice,0,1,0,0.923204818,1.542729727,-1.054568357,-0.188855655,-0.822554114,0.035227213,U,0,0,0,1,0,1,1,0,-0.358970175,0.13,,Asia
Effects of Nitrogen and Phosphorous Fertilisation on Nitrous Oxide Emission and Nitrogen Loss in an Irrigated Rice Field,"Iqbal, 2009",30.5,120.4,Rice,0,1,0,1.679923816,0.023670314,-0.119436313,-0.266581924,-1.061533572,0.964281753,U,0,0,0,1,0,1,0,1,-1.007819243,0.14,,Asia
Nitrogen Fertilization Effects on Methane and Nitrous Oxide Emissions from Wetland Rice Fields of Central Vietnam,"Hoa et al., 2018",16.47,107.52,Rice,0,1,0,0.561295732,-1.451300303,-1.989700401,1.668802169,-0.464084927,-1.242222779,U,0,0,0,1,0,1,0,0,-1.5485268,0.14,,Asia
The Effects of Rape Residue Mulching on Net Global Warming Potential and Greenhouse Gas Intensity from No-Tillage Paddy Fields,"Zhang et al., 2014",29.92,115.05,Rice,0,1,0,0.939655231,1.586818523,-0.119436313,0.044323151,0.372343176,-0.313168239,MA,0,1,0,0,0,1,0,0,1.187453437,0.14,,Asia
Optimal Fertilizer Nitrogen Rates and Yield-Scaled Global Warming Potential in Drill Seeded Rice,"Adviento Borbe et al., 2013",34.45,-91.4,Rice,0,1,0,1.449618034,-0.886162105,0.815695731,-0.422034462,-0.942043843,-0.777695509,U,0,0,0,1,0,1,1,0,0.441277009,0.14,,South America
"Comparison of greenhouse gas emissions from rice paddy fields under different nitrogen fertilization loads in Chongming Island, Eastern China","Zhang et al., 2014",32.02,122.03,Rice,0,1,0,0.857403166,1.438519846,0.815695731,-0.499760731,0.133363718,1.196545388,U,0,0,0,1,0,1,0,0,0.289878893,0.15,,Asia
Effect of controlled-release fertilizer on mitigation of N2O emission from paddy field in South China: a multi-year field observation,"Ji et al., 2013",31.97,119.3,Rice,0,1,0,0.972556057,0.392412968,0.815695731,-0.732939537,0.013873989,0.035227213,U,0,0,0,1,0,1,0,0,0.614303427,0.15,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.577746145,-0.573532463,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.521182442,0.08,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.43,120.2,Rice,0,1,0,1.005456883,-0.100579928,-0.119436313,1.987479871,-0.344595198,-1.126090962,U,0,0,0,1,0,1,0,0,-0.358970175,0.15,,Asia
Greenhouse gas emissions and global warming potential of traditional and diversified tropical rice rotation systems,"Weller et al., 2016",14.16,121.26,Rice,0,1,0,1.038357709,-0.994380058,-1.054568357,0.588407033,1.08928155,-1.126090962,U,0,0,0,1,0,1,1,0,-0.575253198,0.15,,Asia
Methane and nitrous oxide emissions from rice paddy fields as affected by nitrogen fertilisers and water management,"Cai et al., 1997",32.48,118.6,Rice,0,1,0,1.48251886,-1.371138857,1.750827774,-0.266581924,-0.464084927,1.312677206,U,0,0,0,1,0,1,1,0,1.263152495,0.15,,Asia
"Assessing the performance of the photo-acoustic infrared gas monitor for measuring CO2, N2O, and CH4 fluxes in two major cereal rotations","Tirol Padre et al., 2014",29.68,77,Rice,0,1,0,1.795076707,1.222083941,0.815695731,0.005460017,-0.942043843,0.151359031,U,0,0,0,1,0,1,0,0,-1.17003151,0.16,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.43,120.2,Rice,0,1,0,1.005456883,-0.100579928,-0.119436313,1.987479871,-0.344595198,-1.126090962,U,0,0,0,1,0,1,0,0,1.263152495,0.16,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.22,120.27,Rice,0,1,0,0.923204818,0.41245333,0.815695731,-0.577487,-0.344595198,-1.474486414,U,0,0,0,1,0,1,0,0,0.45209116,0.16,,Asia
Nitrous oxide emissions from three rice paddy fields in China,"Hua et al., 1997",28.25,116.92,Rice,0,1,0,1.268663491,1.374390689,0.815695731,-0.188855655,-0.464084927,0.499754483,U,0,0,0,1,0,1,0,0,1.263152495,0.16,,Asia
Effect of slow releasing nitrogen fertilizers on CH4 and N2O emission in maize and rice fields in black earth soil,"Liang et al., 2004",47.43,126.63,Rice,0,1,0,0.117134581,-0.906202467,-0.119436313,-0.033403118,-0.10561574,0.151359031,U,0,0,0,1,0,1,1,1,-0.953748488,0.16,,Oceania
Effects of Water and Nitrogenous Fertilizer Coupling on CH4 and N2O Emission from Double-Season Rice Paddy Field,"Fu et al., 2015",28.14,113.2,Rice,0,1,0,1.219312252,0.648929597,0.815695731,-0.188855655,-0.464084927,-0.893827327,U,0,0,0,1,0,1,0,0,-0.358970175,0.17,,Asia
Exploring a suitable nitrogen fertilizer rate to reduce greenhouse gas emissions and ensure rice yields in paddy fields,"Zhong et al., 2016",30.43,120.2,Rice,0,1,0,1.005456883,-0.100579928,-0.119436313,1.987479871,-0.344595198,-1.126090962,U,0,0,0,1,0,1,0,0,-1.17003151,0.17,,Asia
Long-term field measurements of annual methane and nitrous oxide emissions from a Chinese subtropical wheat-rice rotation system,"Zhou et al., 2006",30.27,105.47,Rice,0,1,0,1.005456883,1.286213098,-1.989700401,-0.857301567,-0.583574656,1.777204476,U,0,0,0,1,0,1,0,0,0.722444939,0.17,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.577746145,-0.573532463,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.845606976,0.08,,Asia
Nitrous oxide and methane emissions from paddy soils in southwest China,"Su et al., 2017",29.06,106.19,Rice,0,1,0,0.923204818,1.542729727,-1.054568357,-0.188855655,-0.822554114,0.035227213,U,0,0,0,1,0,1,0,0,-0.358970175,0.17,,Asia
"Water regime???¡°Cnitrogen fertilizer???¡°Cstraw incorporation interaction: Field study on nitrous oxide emissions from a rice agroecosystem in Nanjing, China","Wang et al., 2011",31.87,118.83,Rice,0,1,0,0.972556057,0.404437185,-0.119436313,-0.709621657,0.013873989,-1.358354597,U,0,0,0,1,0,1,0,0,1.263152495,0.17,,Asia
Effects of nitrogen application rates on net annual global warming potential and greenhouse gas intensity in double-rice cropping systems of the Southern China,"Chen et al., 2016",28.12,112.3,Rice,0,1,0,0.808051927,-0.801992586,-0.119436313,1.909753603,-0.344595198,-0.893827327,O,0,0,1,0,0,1,0,0,-0.521182442,0.09,,Asia
Long-term field measurements of annual methane and nitrous oxide emissions from a Chinese subtropical wheat-rice rotation system,"Zhou et al., 2006",30.27,105.47,Rice,0,1,0,1.202861839,-0.308999689,-1.989700401,-0.857301567,-0.583574656,1.777204476,U,0,0,0,1,0,1,0,0,0.722444939,0.18,,Asia
